subgroup,size,reliable,Accuracy,TPR,FPR,ECE
East Asian_Young,414,True,0.8405797101449275,0.8755364806866953,0.20441988950276244,0.04756329227508842
East Asian_Old,102,True,0.9215686274509803,0.9193548387096774,0.075,0.06445541568830901
White_Middle,1376,True,0.9433139534883721,0.9466292134831461,0.060240963855421686,0.01834236254217102
Latino_Hispanic_Middle,1031,True,0.9515033947623667,0.9540918163672655,0.0509433962264151,0.010014538003708044
Southeast Asian_Middle,865,True,0.9179190751445087,0.9013761467889908,0.06526806526806526,0.03839615548104912
Black_Middle,928,True,0.8803879310344828,0.8933901918976546,0.1328976034858388,0.030897734483005472
Southeast Asian_Young,421,True,0.8266033254156769,0.8281938325991189,0.17525773195876287,0.07539075472991638
Indian_Middle,930,True,0.9559139784946237,0.9526881720430107,0.04086021505376344,0.013419581955719368
Middle Eastern_Old,179,True,0.9608938547486033,0.9787234042553191,0.10526315789473684,0.04167021850550641
East Asian_Middle,1034,True,0.9158607350096711,0.8858921161825726,0.057971014492753624,0.028372678376114586
Middle Eastern_Middle,819,True,0.9645909645909646,0.969147005444646,0.04477611940298507,0.016586869693519305
Indian_Young,387,True,0.7803617571059431,0.7790055248618785,0.21844660194174756,0.08917911535547687
Black_Old,144,True,0.8611111111111112,0.8939393939393939,0.16666666666666666,0.08176386973354964
Indian_Old,199,True,0.9296482412060302,0.9345794392523364,0.07608695652173914,0.023987587265221003
White_Young,407,True,0.773955773955774,0.71,0.1642512077294686,0.09870609790269805
Middle Eastern_Young,211,True,0.8578199052132701,0.8347107438016529,0.1111111111111111,0.0862763649497128
Latino_Hispanic_Old,180,True,0.9333333333333333,0.9428571428571428,0.08,0.03913664842645329
Black_Young,484,True,0.7789256198347108,0.803030303030303,0.25,0.08916027815088876
Southeast Asian_Old,129,True,0.8682170542635659,0.8333333333333334,0.08771929824561403,0.07774596036115822
Latino_Hispanic_Young,412,True,0.8325242718446602,0.786096256684492,0.1288888888888889,0.07109394602622222
White_Old,302,True,0.9437086092715232,0.9666666666666667,0.10869565217391304,0.03979250749215386
