subgroup,size,reliable,Accuracy,TPR,FPR,ECE
East Asian_Young,414,True,0.855072463768116,0.9098712446351931,0.2154696132596685,0.04800894827658429
East Asian_Old,102,True,0.9019607843137255,0.9516129032258065,0.175,0.06014478095241037
White_Middle,1376,True,0.9433139534883721,0.9648876404494382,0.07981927710843373,0.02429892808716029
Latino_Hispanic_Middle,1031,True,0.953443258971872,0.9740518962075848,0.0660377358490566,0.02654542357892981
Southeast Asian_Middle,865,True,0.9398843930635838,0.944954128440367,0.06526806526806526,0.02147894735970248
Black_Middle,928,True,0.884698275862069,0.9275053304904051,0.15904139433551198,0.05100785314450683
Southeast Asian_Young,421,True,0.8242280285035629,0.8325991189427313,0.18556701030927836,0.06153056386530824
Indian_Middle,930,True,0.9623655913978495,0.9720430107526882,0.047311827956989246,0.027661776809041857
Middle Eastern_Old,179,True,0.9720670391061452,0.9929078014184397,0.10526315789473684,0.03161385634591461
East Asian_Middle,1034,True,0.925531914893617,0.9149377593360996,0.06521739130434782,0.016527806997760356
Middle Eastern_Middle,819,True,0.9658119658119658,0.9764065335753176,0.055970149253731345,0.01784810242817372
Indian_Young,387,True,0.813953488372093,0.8287292817679558,0.19902912621359223,0.07969553552048153
Black_Old,144,True,0.7916666666666666,0.9090909090909091,0.3076923076923077,0.13178252834930188
Indian_Old,199,True,0.9547738693467337,0.9813084112149533,0.07608695652173914,0.03163009694772751
White_Young,407,True,0.7960687960687961,0.77,0.178743961352657,0.0948081722423544
Middle Eastern_Young,211,True,0.8862559241706162,0.859504132231405,0.07777777777777778,0.06052951757482724
Latino_Hispanic_Old,180,True,0.9388888888888889,0.9714285714285714,0.10666666666666667,0.03452394617100557
Black_Young,484,True,0.7458677685950413,0.8333333333333334,0.35909090909090907,0.10291943935415715
Southeast Asian_Old,129,True,0.8837209302325582,0.8611111111111112,0.08771929824561403,0.04955463768380096
Latino_Hispanic_Young,412,True,0.8519417475728155,0.8128342245989305,0.11555555555555555,0.07221020683103682
White_Old,302,True,0.9105960264900662,0.9714285714285714,0.22826086956521738,0.05514909814278413
