subgroup,size,reliable,Accuracy,TPR,FPR,ECE
East Asian_Young,414,True,0.8792270531400966,0.9141630901287554,0.16574585635359115,0.058586163536290065
East Asian_Old,102,True,0.8725490196078431,0.8709677419354839,0.125,0.06028975597491451
White_Middle,1376,True,0.9324127906976745,0.9396067415730337,0.07530120481927711,0.02292127780031499
Latino_Hispanic_Middle,1031,True,0.9495635305528612,0.9500998003992016,0.0509433962264151,0.02157254174539582
Southeast Asian_Middle,865,True,0.9121387283236995,0.9013761467889908,0.07692307692307693,0.02406746957214235
Black_Middle,928,True,0.884698275862069,0.8955223880597015,0.12636165577342048,0.016892043070803428
Southeast Asian_Young,421,True,0.8432304038004751,0.8678414096916299,0.18556701030927836,0.04114902284960851
Indian_Middle,930,True,0.9526881720430107,0.9526881720430107,0.047311827956989246,0.01575683386976358
Middle Eastern_Old,179,True,0.9776536312849162,0.9858156028368794,0.05263157894736842,0.041943922659704806
East Asian_Middle,1034,True,0.9052224371373307,0.8775933609958506,0.07065217391304347,0.0229666043988049
Middle Eastern_Middle,819,True,0.9621489621489622,0.9637023593466425,0.041044776119402986,0.018171287769444884
Indian_Young,387,True,0.8113695090439277,0.8342541436464088,0.2087378640776699,0.05185150770946989
Black_Old,144,True,0.8888888888888888,0.9242424242424242,0.14102564102564102,0.06328517276172838
Indian_Old,199,True,0.9346733668341709,0.9252336448598131,0.05434782608695652,0.03723320902217572
White_Young,407,True,0.8034398034398035,0.78,0.17391304347826086,0.06340061768852816
Middle Eastern_Young,211,True,0.8862559241706162,0.8760330578512396,0.1,0.07171622377718793
Latino_Hispanic_Old,180,True,0.9444444444444444,0.9714285714285714,0.09333333333333334,0.02723234180981913
Black_Young,484,True,0.75,0.8257575757575758,0.3409090909090909,0.05629787826525772
Southeast Asian_Old,129,True,0.8682170542635659,0.8333333333333334,0.08771929824561403,0.07593115569316142
Latino_Hispanic_Young,412,True,0.837378640776699,0.8235294117647058,0.1511111111111111,0.046843066535781595
White_Old,302,True,0.9271523178807947,0.9571428571428572,0.14130434782608695,0.027823297886658983
