subgroup,size,reliable,Accuracy,TPR,FPR,ECE
East Asian_Young,414,True,0.8454106280193237,0.9012875536480687,0.2265193370165746,0.04800652551514227
East Asian_Old,102,True,0.8823529411764706,0.9032258064516129,0.15,0.06472814282146738
White_Middle,1376,True,0.9418604651162791,0.9620786516853933,0.07981927710843373,0.02136364916805178
Latino_Hispanic_Middle,1031,True,0.9437439379243453,0.9620758483033932,0.07358490566037736,0.02286153924800493
Southeast Asian_Middle,865,True,0.9132947976878613,0.9151376146788991,0.08857808857808858,0.017026443139924487
Black_Middle,928,True,0.8706896551724138,0.9168443496801706,0.17647058823529413,0.05266306165340838
Southeast Asian_Young,421,True,0.8218527315914489,0.8722466960352423,0.23711340206185566,0.04248416698548829
Indian_Middle,930,True,0.9559139784946237,0.967741935483871,0.05591397849462366,0.02808516388258307
Middle Eastern_Old,179,True,0.9608938547486033,0.9787234042553191,0.10526315789473684,0.03616500630267172
East Asian_Middle,1034,True,0.9042553191489362,0.8900414937759336,0.08333333333333333,0.0194087248940446
Middle Eastern_Middle,819,True,0.9572649572649573,0.9709618874773139,0.0708955223880597,0.019667806019676735
Indian_Young,387,True,0.7674418604651163,0.8121546961325967,0.27184466019417475,0.07050332136317432
Black_Old,144,True,0.8263888888888888,0.9393939393939394,0.2692307692307692,0.1286797572651671
Indian_Old,199,True,0.9346733668341709,0.9439252336448598,0.07608695652173914,0.03927770099747721
White_Young,407,True,0.7985257985257985,0.795,0.19806763285024154,0.06398737998519102
Middle Eastern_Young,211,True,0.8720379146919431,0.8429752066115702,0.08888888888888889,0.04906052168264489
Latino_Hispanic_Old,180,True,0.9444444444444444,0.9809523809523809,0.10666666666666667,0.037472884108622886
Black_Young,484,True,0.7231404958677686,0.8333333333333334,0.4090909090909091,0.09144015878069499
Southeast Asian_Old,129,True,0.8527131782945736,0.8055555555555556,0.08771929824561403,0.0623924760797689
Latino_Hispanic_Young,412,True,0.837378640776699,0.8342245989304813,0.16,0.06624165144794195
White_Old,302,True,0.9105960264900662,0.9476190476190476,0.17391304347826086,0.04347597437583847
