subgroup,size,reliable,Accuracy,TPR,FPR,ECE
East Asian_Young,414,True,0.8816425120772947,0.9055793991416309,0.14917127071823205,0.04216901399645111
East Asian_Old,102,True,0.8921568627450981,0.9193548387096774,0.15,0.07113922210227626
White_Middle,1376,True,0.9491279069767442,0.9662921348314607,0.06927710843373494,0.018758317513180193
Latino_Hispanic_Middle,1031,True,0.9485935984481086,0.9600798403193613,0.062264150943396226,0.019178133699085463
Southeast Asian_Middle,865,True,0.9260115606936417,0.9334862385321101,0.08158508158508158,0.020638927471732453
Black_Middle,928,True,0.8739224137931034,0.9381663113006397,0.19172113289760348,0.053176698431468994
Southeast Asian_Young,421,True,0.8432304038004751,0.8281938325991189,0.13917525773195877,0.048994757089047145
Indian_Middle,930,True,0.9516129032258065,0.978494623655914,0.07526881720430108,0.027993806850125074
Middle Eastern_Old,179,True,0.9608938547486033,0.9787234042553191,0.10526315789473684,0.03468339486495077
East Asian_Middle,1034,True,0.9245647969052224,0.91701244813278,0.06884057971014493,0.016009586195801912
Middle Eastern_Middle,819,True,0.9621489621489622,0.9764065335753176,0.06716417910447761,0.007178703718733458
Indian_Young,387,True,0.7932816537467701,0.8121546961325967,0.22330097087378642,0.07627817337673148
Black_Old,144,True,0.8402777777777778,0.9242424242424242,0.23076923076923078,0.10175811606718022
Indian_Old,199,True,0.949748743718593,0.9719626168224299,0.07608695652173914,0.03379949941370058
White_Young,407,True,0.7837837837837838,0.735,0.16908212560386474,0.07769339694584323
Middle Eastern_Young,211,True,0.8578199052132701,0.8429752066115702,0.12222222222222222,0.07103610989500843
Latino_Hispanic_Old,180,True,0.9388888888888889,0.9809523809523809,0.12,0.04706979532622629
Black_Young,484,True,0.75,0.803030303030303,0.31363636363636366,0.07739297242080868
Southeast Asian_Old,129,True,0.8914728682170543,0.9027777777777778,0.12280701754385964,0.061606970261926824
Latino_Hispanic_Young,412,True,0.8276699029126213,0.7914438502673797,0.14222222222222222,0.06655728900172178
White_Old,302,True,0.9337748344370861,0.9761904761904762,0.16304347826086957,0.04101708112901313
