subgroup,size,reliable,Accuracy,TPR,FPR,ECE
East Asian_Young,414,True,0.7584541062801933,0.6952789699570815,0.16022099447513813,0.09590530467494099
East Asian_Old,102,True,0.7058823529411765,0.8548387096774194,0.525,0.06999636339206322
White_Middle,1376,True,0.8234011627906976,0.8132022471910112,0.16566265060240964,0.05755838590435857
Latino_Hispanic_Middle,1031,True,0.8128031037827352,0.8163672654690619,0.19056603773584907,0.039540731522438026
Southeast Asian_Middle,865,True,0.8034682080924855,0.7614678899082569,0.15384615384615385,0.06004403822683876
Black_Middle,928,True,0.7370689655172413,0.7825159914712153,0.3093681917211329,0.03541016392409804
Southeast Asian_Young,421,True,0.7007125890736342,0.6079295154185022,0.19072164948453607,0.09635412982375206
Indian_Middle,930,True,0.8053763440860215,0.8064516129032258,0.1956989247311828,0.04545520755552477
Middle Eastern_Old,179,True,0.8435754189944135,0.9148936170212766,0.42105263157894735,0.10953120933065201
East Asian_Middle,1034,True,0.8133462282398453,0.7510373443983402,0.1322463768115942,0.06342380755081975
Middle Eastern_Middle,819,True,0.8363858363858364,0.8366606170598911,0.16417910447761194,0.12235485710503854
Indian_Young,387,True,0.6847545219638242,0.585635359116022,0.22815533980582525,0.09567682939829444
Black_Old,144,True,0.6319444444444444,0.8636363636363636,0.5641025641025641,0.1688321280396647
Indian_Old,199,True,0.7889447236180904,0.9345794392523364,0.3804347826086957,0.09177797639639532
White_Young,407,True,0.7002457002457002,0.565,0.16908212560386474,0.09082853943292574
Middle Eastern_Young,211,True,0.7251184834123223,0.6033057851239669,0.1111111111111111,0.15149937979700437
Latino_Hispanic_Old,180,True,0.8,0.9047619047619048,0.3466666666666667,0.07863079071458845
Black_Young,484,True,0.6652892561983471,0.7348484848484849,0.41818181818181815,0.05702364672560336
Southeast Asian_Old,129,True,0.7441860465116279,0.8611111111111112,0.40350877192982454,0.08366643325533978
Latino_Hispanic_Young,412,True,0.6990291262135923,0.5775401069518716,0.2,0.05842362431972062
White_Old,302,True,0.7450331125827815,0.8476190476190476,0.4891304347826087,0.1094108232056463
