epoch,train_loss,train_acc,val_loss,val_acc,swats_phase
1,0.404868037051295,0.8201167231068521,0.2767051198274501,0.8769957922646838,N/A
2,0.28652683891950254,0.874746019165646,0.2816667827257876,0.8785520779295637,N/A
3,0.2524678995734044,0.8903091000792565,0.23929153020539995,0.8964781831805868,N/A
4,0.2281777856140683,0.9024857698681461,0.23840320487652475,0.8971122254885008,N/A
5,0.20853390147563441,0.9101232077238994,0.23502548992235905,0.9007435587065536,N/A
6,0.19777910222860595,0.9158729015058722,0.22443059975243623,0.9077180240936077,N/A
7,0.18104051623309658,0.9235968009222566,0.2260151239142892,0.9067957807366419,N/A
8,0.1711284213692101,0.9274875711506593,0.24963732461126018,0.9043748919246066,N/A
9,0.1603870003360958,0.9332949059730529,0.22209334267735564,0.9084673468211424,N/A
10,0.1520673567871445,0.936638086317458,0.24391600649038922,0.9089284684996254,N/A
