epoch,train_loss,train_acc,val_loss,val_acc,swats_phase
1,0.38668991484129245,0.8145975934865625,0.3041842865241386,0.8616634964551271,ADAM
2,0.2944286965544788,0.8679011456156783,0.25993761995165826,0.8888696754856188,ADAM
3,0.2592815159892585,0.8842423805749694,0.2538838213443427,0.8896766384229639,ADAM
4,0.2304545942377926,0.9005259744938396,0.2421127342812813,0.8966511038100179,SGD
5,0.22026964472138755,0.904546437063189,0.23805238372383855,0.8981497492650873,SGD
6,0.21869595156988553,0.9073276172634916,0.24115705141595276,0.8967087440198283,SGD
7,0.21581625079142713,0.9087542330139059,0.23664349023918202,0.8988414317828117,SGD
8,0.21311488846010357,0.9085092585921176,0.23920366001996327,0.8970545852786904,SGD
9,0.21263234526324293,0.9080625405288566,0.24364733540248915,0.8962476223413454,SGD
10,0.21306838716241608,0.9096188486202176,0.23633613979399315,0.8989567122024325,SGD
