epoch,train_loss,train_acc,val_loss,val_acc,swats_phase
1,0.5170711567595346,0.7405288565458606,0.49924170186067374,0.7541645051587987,SGD
2,0.5047657386725704,0.7473449095756178,0.4945804796166183,0.7565277537610237,SGD
3,0.5005436604778136,0.7503566539376035,0.4893952526330509,0.7576229177474206,SGD
4,0.49595088129386533,0.7526478852943296,0.4880242713797378,0.7578534785866621,SGD
5,0.4926927128987908,0.7549102961308451,0.48212914155113545,0.7603320076085077,SGD
6,0.4894345265041578,0.7573023993083076,0.4789856444516015,0.7626952562107326,SGD
7,0.4860564540365755,0.7599827076878738,0.4797290842396998,0.7617730128537668,SGD
8,0.48315662743309884,0.7628359391887024,0.4777198499188678,0.7632716583088363,SGD
9,0.4802525486469049,0.7640464010375387,0.47186414115336717,0.766730070897458,SGD
10,0.48078184220690834,0.7644066575401686,0.4705815885497281,0.7682863565623379,SGD
