epoch,train_loss,train_acc,val_loss,val_acc,swats_phase
1,0.40468091752642915,0.8190647741191729,0.28010149798175904,0.8743443426134071,N/A
2,0.28710100819378637,0.8741119677210174,0.2505766780254591,0.8929621303821546,N/A
3,0.25170332705022386,0.8905396642409396,0.2439085192511863,0.8947489768862759,N/A
4,0.22603131300065996,0.9020246415447799,0.25486288226550896,0.8882932733875152,N/A
5,0.2091782156441579,0.910613156567476,0.23661766778231766,0.9002824370280708,N/A
6,0.19556506275065816,0.9159449528063982,0.22676962579842347,0.9047783733932792,N/A
7,0.18329100244764004,0.9231789033792059,0.22593044447429603,0.9049512940227102,N/A
8,0.17329937742946608,0.9270696736076086,0.22282421392856877,0.9042019712951755,N/A
9,0.16127330414803143,0.9324879314071619,0.23148183076784812,0.906334659058159,N/A
10,0.15124798093399883,0.9380214712875568,0.27509441013062247,0.8955559398236209,N/A
