epoch,train_loss,train_acc,val_loss,val_acc,swats_phase
1,0.3876397055846417,0.8155774911737157,0.2954903747989328,0.8686956020519915,ADAM
2,0.29228039744016815,0.8686360688810433,0.26536410411692896,0.8801660038042538,ADAM
3,0.25615122447150157,0.8888968945889474,0.2477186510431997,0.8922128076546199,ADAM
4,0.23334266590929184,0.8985805893796383,0.23427449863808808,0.9007435587065536,ADAM
5,0.21539459603208724,0.9081634123495929,0.23879740679461653,0.8985532307337599,ADAM
6,0.20228285426527276,0.9137545932704085,0.2318280081112027,0.9018387226929506,ADAM
7,0.19102202242505667,0.919259312630593,0.23255379517214514,0.901896362902761,ADAM
8,0.17752370147705215,0.925470134735932,0.21935102640493373,0.9066805003170212,ADAM
9,0.1709217571732002,0.9290726997622307,0.22876084286078097,0.9050089342325206,ADAM
10,0.1604289147726343,0.9341451113192593,0.2436009771156281,0.9043748919246066,ADAM
